Task,User,Terms Used,Query States,Observations,OISS,Code,OISS Domain,Verbalization
,,,,,Select Main Ideas,SMI6,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,density,New (NW),,Trial and Error,TE1,Procedural,1
,,,,,Purposeful Thinking,PT1,Metacognitive,1
,,,,opened Wikipedia,Select Main Ideas,SMI1,Metacognitive,1
,,,,,Control,C6,Behavioral,1
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,1
,,weight and mass,New (NW),,Trial and Error,TE1,Procedural,1
,,,,,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Evaluation,E4,Metacognitive,1
2,User_11,main bones of the human body,Initial State (IS),,Select Main Ideas,SMI3,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,important muscles of the human body,Word Substitution (WS),,Select Main Ideas,SMI3,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,1
,,main joints of the human body,Word Substitution (WS),,Select Main Ideas,SMI3,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Evaluation,E4,Metacognitive,1
3,User_11,prosthetic limb joint,Initial State (IS),,Control,C1,Behavioral,0
,,,,,Select Main Ideas,SMI2,Metacognitive,0
,,prosthetic limb joint features,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,,,Opened a pdf file,Trial and Error,TE3,Procedural,1
,,,,,Evaluation,E4,Metacognitive,0
,,prosthetic socket,Word Substitution (WS),,Control,C2,Behavioral,1
,,,,,Trial and Error,TE1,Procedural,1
,,prosthetic socket definition,Specialization (SC),Read description provided by Google's SERP,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Evaluation,E2,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
1,User_12,weight,Initial State (IS),,Control,C1,Behavioral,1
,,,,,Select Main Ideas,SMI2,Metacognitive,0
,,mass,New (NW),,Purposeful Thinking,PT3,Metacognitive,1
,,volume,New (NW),,Purposeful Thinking,PT3,Metacognitive,1
,,density,New (NW),,Purposeful Thinking,PT3,Metacognitive,1
,,,,Copied description provided by Google's SERP,Select Main Ideas,SMI7,Metacognitive,1
,,weight Vs mass,New (NW),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI8,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E4,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,volume portuguese,New (NW),,Trial and Error,TE1,Procedural,1
,,,,,Control,C2,Behavioral,1
,,volume,Generalization (GE),,Trial and Error,TE1,Procedural,1
,,,,Copied description provided by Google's SERP,Select Main Ideas,SMI7,Metacognitive,1
2,User_12,what are the main bones and muscles of the human body,Initial State (IS),,Control,C1,Behavioral,0
,,,,,Purposeful Thinking,PT1,Metacognitive,0
,,,,,Control,C8,Behavioral,1
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Purposeful Thinking,PT3,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,1
,,what are the joints of the human body,Word Substitution (WS),,Control,C8,Behavioral,0
,,,,opened a website through a image link,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
3,User_12,what are the joints of a prosthesis,Initial State (IS),,Control,C8,Behavioral,1
,,,,opened a website through a image link,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Control,C8,Behavioral,0
,,what are the joints of a finger prosthesis,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,shift to the all tab,Control,C9,Behavioral,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,,,opened a pdf file,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI8,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,1
